name,age,class,honorific,given_name,family_name,url
"Noss, Mr. Bertram Arthur",20.0,Engineering Crew,Mr,Bertram Arthur,Noss,/titanic-victim/bertram-arthur-noss.html
"Nutbean, Mr. William",30.0,Engineering Crew,Mr,William,Nutbean,/titanic-survivor/william-nutbean.html
"O'Connor, Mr. John",29.0,Engineering Crew,Mr,John,O'Connor,/titanic-survivor/john-oconnor.html
"Olive, Mr. Charles",31.0,Engineering Crew,Mr,Charles,Olive,/titanic-victim/charles-olive.html
"Oliver, Mr. Harry",41.0,Engineering Crew,Mr,Harry,Oliver,/titanic-survivor/harry-oliver.html
"Othen, Mr. Charles Alfred",36.0,Engineering Crew,Mr,Charles Alfred,Othen,/titanic-survivor/charles-othen.html
"Paice, Mr. Richard Charles John",32.0,Engineering Crew,Mr,Richard Charles John,Paice,/titanic-victim/richard-charles-john-paice.html
"Painter, Mr. Charles",32.0,Engineering Crew,Mr,Charles,Painter,/titanic-victim/charles-painter.html
"Painter, Mr. Frank",29.0,Engineering Crew,Mr,Frank,Painter,/titanic-victim/frank-painter.html
"Palles, Mr. Thomas Henry Michael",45.0,Engineering Crew,Mr,Thomas Henry Michael,Palles,/titanic-victim/thomas-palles.html
"Parsons, Mr. Frank Alfred",26.0,Engineering Crew,Mr,Frank Alfred,Parsons,/titanic-victim/frank-alfred-parsons.html
"Pearce, Mr. John",33.0,Engineering Crew,Mr,John,Pearce,/titanic-survivor/john-pearce.html
"Pelham, Mr. George",39.0,Engineering Crew,Mr,George,Pelham,/titanic-survivor/george-pelham.html
"Perry, Mr. Edgar Lionel",19.0,Engineering Crew,Mr,Edgar Lionel,Perry,/titanic-survivor/edgar-lionel-perry.html
"Perry, Mr. Henry Frederick",23.0,Engineering Crew,Mr,Henry Frederick,Perry,/titanic-victim/henry-perry.html
