"","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","bedrooms","price","number_of_reviews"
"8834",18588581,"De Baarsjes - Oud-West",52.36312,4.85527,"Entire apartment","Entire home/apt",1,99,14
"8835",18588711,"Oud-Oost",52.35875,4.90854,"Entire house","Entire home/apt",3,199,7
"8836",18588879,"De Pijp - Rivierenbuurt",52.35431,4.89876,"Entire apartment","Entire home/apt",1,130,15
"8837",18589514,"Zuid",52.3527,4.88541,"Entire apartment","Entire home/apt",2,250,30
"8838",18589598,"De Pijp - Rivierenbuurt",52.34834,4.89371,"Entire apartment","Entire home/apt",1,119,20
"8839",18592811,"Centrum-West",52.36727,4.89294,"Private room in apartment","Private room",1,65,4
"8840",18597302,"Zuid",52.34733,4.86758,"Entire house","Entire home/apt",3,300,4
"8841",18597956,"De Pijp - Rivierenbuurt",52.35852,4.90305,"Entire apartment","Entire home/apt",3,170,5
"8842",18598791,"De Baarsjes - Oud-West",52.36729,4.86721,"Entire apartment","Entire home/apt",1,170,27
"8843",18604324,"Oud-Oost",52.35884,4.91759,"Entire apartment","Entire home/apt",1,130,22
"8844",18604933,"De Baarsjes - Oud-West",52.36841,4.86792,"Entire apartment","Entire home/apt",1,152,10
"8846",18606343,"Oud-Oost",52.35378,4.92315,"Entire apartment","Entire home/apt",1,65,5
"8847",18608839,"De Baarsjes - Oud-West",52.36289,4.86685,"Entire apartment","Entire home/apt",1,125,29
"8848",18609671,"Zuid",52.35157,4.8515,"Entire apartment","Entire home/apt",2,130,7
"8850",18610618,"De Pijp - Rivierenbuurt",52.35589,4.89657,"Entire apartment","Entire home/apt",2,250,5
"8851",18612145,"De Baarsjes - Oud-West",52.36581,4.85495,"Private room in apartment","Private room",1,67,277
"8853",18613398,"Zuid",52.35671,4.85165,"Entire apartment","Entire home/apt",1,115,16
"8855",18614662,"Oud-Oost",52.35169,4.92008,"Entire apartment","Entire home/apt",1,129,1
"8856",18620522,"Oud-Oost",52.35437,4.91044,"Entire apartment","Entire home/apt",1,120,10
"8857",18621636,"De Baarsjes - Oud-West",52.36818,4.87355,"Entire apartment","Entire home/apt",1,175,11
"8860",18623118,"Bos en Lommer",52.38145,4.85404,"Entire apartment","Entire home/apt",1,75,1
"8862",18625789,"Oostelijk Havengebied - Indische Buurt",52.36467,4.94259,"Entire apartment","Entire home/apt",1,110,2
"8863",18627099,"De Pijp - Rivierenbuurt",52.34856,4.89054,"Entire apartment","Entire home/apt",1,210,21
"8866",18631089,"Oostelijk Havengebied - Indische Buurt",52.37732,4.92249,"Entire apartment","Entire home/apt",1,80,18
"8868",18640810,"Oud-Oost",52.35843,4.90688,"Entire apartment","Entire home/apt",1,158,24
"8869",18644351,"Noord-Oost",52.39657,4.93397,"Entire apartment","Entire home/apt",1,135,3
"8870",18646609,"Centrum-West",52.38127,4.88929,"Entire apartment","Entire home/apt",2,200,36
"8871",18647276,"Osdorp",52.35844,4.79478,"Entire apartment","Entire home/apt",3,100,15
