"R0000100","R0000300","R0000500","R0173600","R0214700","R0214800","R0410100","R0410300","R0614800","R0614900","R0615100","R0615200","R0615300","R0615400","R0615700","R0618011","R0618017","R0618100","R0618200","R0618300","R0810200","R3127500","R3127800","R3401000","R3523200","R3523500","R3559000","R3656400","R3728200","R3728500","R3897100","R4006900","R4182300","R4295100","R4416800","R4418000","R4982800","R5079800","R5081000"
10709,1,58,15,3,1,1,58,51,1,15,28,8,49,11,46,46,49,47,37,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10710,12,57,19,2,2,12,57,51,1,7,16,10,13,8,35,41,39,9,14,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10711,3,59,18,3,2,3,59,51,1,17,32,13,49,19,49,58,57,69,67,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10712,11,57,19,2,2,11,57,51,1,11,20,5,24,9,40,43,38,15,17,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10713,12,59,18,3,2,12,59,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10714,6,57,15,3,1,6,57,51,1,21,31,13,46,15,54,52,56,74,64,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10715,12,59,15,3,1,12,59,51,0,21,24,11,44,16,54,54,48,53,50,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10716,10,57,15,3,1,10,57,51,0,13,30,11,26,6,43,38,54,35,36,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10717,10,58,15,3,1,-5,-5,51,0,28,33,14,36,20,64,60,59,84,87,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10718,8,57,16,2,1,8,57,51,1,12,22,6,27,9,42,43,41,20,21,1,-4,-4,8,-4,-4,0,8,-4,-4,0,8,-4,0,-4,8,0,800,1
